client,impulsionamento_budget,n_monthly_contracted_feed_instagram_mandalecas,n_monthly_contracted_feed_linkedin_mandalecas,n_monthly_contracted_stories_instagram_mandalecas,n_monthly_contracted_feed_tiktok_mandalecas,url_img_logo,ativo,is_active_impulsionamento_instagram,is_active_trafego_pago,is_active_redes_linkedin,meta_ads_account_id ,is_active_redes_instagram,n_usuario_nstagram,instagram_profile_id,facebook_page_id,google_ads_account_id,hashtag_padrao,linkedin_profile_id,n_monthly_contracted_creative_mandalecas,n_monthly_contracted_content_production_mandalecas,n_monthly_contracted_format_adaptation_mandalecas,tiktok_profile_id
Procardíaco,,8,8,12,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-12-2.jpg,TRUE,FALSE,FALSE,TRUE,782533655654875,TRUE,Procardíacosalvador,"1,78414028842198E+016",101210641736250,,#Procardíaco,24578096,2,,1,
QPC Engenharia,,8,8,12,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-21-2.jpg,TRUE,FALSE,FALSE,TRUE,,TRUE,QPC Engenhariaincorporadora,"1,78414450093326E+016",105068945261737,,#QPC EngenhariaIncorporadora,80406707,2,,1,
Rosana Dias,,0,,,,,TRUE,FALSE,TRUE,FALSE,1065883981050292,FALSE,_rosanadias,"1,784140115399E+016",281989278534170,,,,,,,
SAEB - Sociedade de Anestesiologia do Estado da Bahia,300,20,,24,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-23-1.jpg,TRUE,TRUE,FALSE,FALSE,2509967812351970,TRUE,saebanestesia,"1,78414083787896E+016",1450210921863825,,#SaebAnestesia,,,,,
Sertenge,,8,8,24,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-34-2.jpg,TRUE,FALSE,FALSE,TRUE,679626592800161,TRUE,sertengeengenharia,"1,78414445376353E+016",797687203604311,,#Sertenge,24583037,,,,
Santander Holding Imobiliária,,0,12,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-45.jpg,TRUE,FALSE,FALSE,TRUE,,FALSE,,,,,#SHI,88067800,,,,
SMF BRISAS MARINHAS RESIDENCE,300,6,,9,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-42.jpg,TRUE,FALSE,TRUE,FALSE,536784921593524,TRUE,smfempreendimentos_,"1,78414554020309E+016",107313168797588,,#SMFEmpreendimentos,,,,,
SBM / Bahia,,8,,12,,https://www.wolflair.com/wp-content/uploads/2017/01/placeholder.jpg,TRUE,FALSE,FALSE,FALSE,,TRUE,sbmastologia,,100994329663983,,#SociedadeBrasileiraDeMastologia,,,,,
SST MAIS,,8,,12,,,TRUE,FALSE,FALSE,FALSE,640570108118373,TRUE,sstmais,"1,78414556441889E+016",103271159301396,,#SSTMais,,,,,
Thalita Dog Trainer,,12,,16,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/05/THALITA-DOG.jpg,FALSE,TRUE,FALSE,FALSE,5391749584262017,TRUE,thalitadogtrainer,"1,78414477592813E+016",103597728542417,,,,,,,
Bistrot Trapiche Adega,,20,,24,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-2-2.jpg,TRUE,TRUE,FALSE,FALSE,327562819609138,TRUE,bistrottrapiche,"1,78414046144972E+016",421811465270384,,#BistrotTrapicheAdega,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,
